BenchmarkName,Compiler,Optimization,Backend,Adapter,Ioq,NumKernels,KernelExecTime,MeasureCompletion,MedianTime
SubmitKernel,dpcpp,O2,sycl,v2,1,50,1,1,206.576
SubmitKernel,dpcpp,O2,sycl,v2,1,50,5,1,212.608
SubmitKernel,dpcpp,O2,sycl,v2,1,50,10,1,243.068
SubmitKernel,dpcpp,O2,sycl,v2,1,50,100,1,1769.328
SubmitKernel,dpcpp,O2,sycl,v2,0,100,1,0,399.872
SubmitKernel,dpcpp,O2,sycl,v2,0,100,1,1,407.761
SubmitKernel,dpcpp,O2,sycl,v2,0,100,5,1,403.071
SubmitKernel,dpcpp,O2,sycl,v2,0,100,10,1,480.155
SubmitKernel,dpcpp,O2,sycl,v2,0,100,100,1,3533.336
SubmitKernel,dpcpp,O2,sycl,v2,1,100,1,0,411.923
SubmitKernel,dpcpp,O2,sycl,v2,1,100,1,1,413.864
SubmitKernel,dpcpp,O2,sycl,v2,1,100,5,1,416.826
SubmitKernel,dpcpp,O2,sycl,v2,1,100,10,1,480.347
SubmitKernel,dpcpp,O2,sycl,v2,1,100,100,1,3532.552
SubmitKernel,dpcpp,O0,sycl,v2,0,1,1,0,4.199
SubmitKernel,dpcpp,O0,sycl,v2,0,1,1,1,6.800
SubmitKernel,dpcpp,O0,sycl,v2,0,1,5,1,8.679
SubmitKernel,dpcpp,O0,sycl,v2,0,1,10,1,9.995
SubmitKernel,dpcpp,O0,sycl,v2,0,1,100,1,39.978
SubmitKernel,dpcpp,O0,sycl,v2,1,1,1,0,4.273
SubmitKernel,dpcpp,O0,sycl,v2,1,1,1,1,6.590
SubmitKernel,dpcpp,O0,sycl,v2,1,1,5,1,7.948
SubmitKernel,dpcpp,O0,sycl,v2,1,1,10,1,10.174
SubmitKernel,dpcpp,O0,sycl,v2,1,1,100,1,39.525
SubmitKernel,dpcpp,O0,sycl,v2,0,10,1,0,40.339
SubmitKernel,dpcpp,O0,sycl,v2,0,10,1,1,43.420
SubmitKernel,dpcpp,O0,sycl,v2,0,10,5,1,44.241
SubmitKernel,dpcpp,O0,sycl,v2,0,10,10,1,52.636
SubmitKernel,dpcpp,O0,sycl,v2,0,10,100,1,361.519
SubmitKernel,dpcpp,O0,sycl,v2,1,10,1,0,41.383
SubmitKernel,dpcpp,O0,sycl,v2,1,10,1,1,44.098
SubmitKernel,dpcpp,O0,sycl,v2,1,10,5,1,46.147
SubmitKernel,dpcpp,O0,sycl,v2,1,10,10,1,54.850
SubmitKernel,dpcpp,O0,sycl,v2,1,10,100,1,359.565
SubmitKernel,dpcpp,O0,sycl,v2,0,20,1,0,81.077
SubmitKernel,dpcpp,O0,sycl,v2,0,20,1,1,84.523
SubmitKernel,dpcpp,O0,sycl,v2,0,20,5,1,85.110
SubmitKernel,dpcpp,O0,sycl,v2,0,20,10,1,100.250
SubmitKernel,dpcpp,O0,sycl,v2,0,20,100,1,710.876
SubmitKernel,dpcpp,O0,sycl,v2,1,20,1,0,82.553
SubmitKernel,dpcpp,O0,sycl,v2,1,20,1,1,85.080
SubmitKernel,dpcpp,O0,sycl,v2,1,20,5,1,87.576
SubmitKernel,dpcpp,O0,sycl,v2,1,20,10,1,104.774
SubmitKernel,dpcpp,O0,sycl,v2,1,20,100,1,710.756
SubmitKernel,dpcpp,O0,sycl,v2,0,50,1,0,200.328
SubmitKernel,dpcpp,O0,sycl,v2,0,50,1,1,205.171
SubmitKernel,dpcpp,O0,sycl,v2,0,50,5,1,209.612
SubmitKernel,dpcpp,O0,sycl,v2,0,50,10,1,254.515
SubmitKernel,dpcpp,O0,sycl,v2,0,50,100,1,1769.685
SubmitKernel,dpcpp,O0,sycl,v2,1,50,1,0,209.492
SubmitKernel,dpcpp,O0,sycl,v2,1,50,1,1,204.618
SubmitKernel,dpcpp,O0,sycl,v2,1,50,5,1,208.442
SubmitKernel,dpcpp,O0,sycl,v2,1,50,10,1,242.834
SubmitKernel,dpcpp,O0,sycl,v2,1,50,100,1,1781.697
SubmitKernel,dpcpp,O0,sycl,v2,0,100,1,0,394.907
SubmitKernel,dpcpp,O0,sycl,v2,0,100,1,1,399.550
SubmitKernel,dpcpp,O0,sycl,v2,0,100,5,1,405.351
SubmitKernel,dpcpp,O0,sycl,v2,0,100,10,1,504.095
SubmitKernel,dpcpp,O0,sycl,v2,0,100,100,1,3533.693
SubmitKernel,dpcpp,O0,sycl,v2,1,100,1,0,411.855
SubmitKernel,dpcpp,O0,sycl,v2,1,100,1,1,419.593
SubmitKernel,dpcpp,O0,sycl,v2,1,100,5,1,421.816
SubmitKernel,dpcpp,O0,sycl,v2,1,100,10,1,480.346
SubmitKernel,dpcpp,O0,sycl,v2,1,100,100,1,3557.028
SubmitKernel,acpp,O2,sycl,NA,0,1,1,0,1.017
SubmitKernel,acpp,O2,sycl,NA,0,1,1,1,12.868
SubmitKernel,acpp,O2,sycl,NA,0,1,5,1,12.765
SubmitKernel,acpp,O2,sycl,NA,0,1,10,1,14.176
SubmitKernel,acpp,O2,sycl,NA,0,1,100,1,42.422
SubmitKernel,acpp,O2,sycl,NA,1,1,1,0,1.145
SubmitKernel,acpp,O2,sycl,NA,1,1,1,1,12.923
SubmitKernel,acpp,O2,sycl,NA,1,1,5,1,12.793
SubmitKernel,acpp,O2,sycl,NA,1,1,10,1,14.049
SubmitKernel,acpp,O2,sycl,NA,1,1,100,1,42.316
SubmitKernel,acpp,O2,sycl,NA,0,10,1,0,10.503
SubmitKernel,acpp,O2,sycl,NA,0,10,1,1,59.099
SubmitKernel,acpp,O2,sycl,NA,0,10,5,1,58.864
SubmitKernel,acpp,O2,sycl,NA,0,10,10,1,60.839
SubmitKernel,acpp,O2,sycl,NA,0,10,100,1,91.682
SubmitKernel,acpp,O2,sycl,NA,1,10,1,0,11.145
SubmitKernel,acpp,O2,sycl,NA,1,10,1,1,48.489
SubmitKernel,acpp,O2,sycl,NA,1,10,5,1,49.743
SubmitKernel,acpp,O2,sycl,NA,1,10,10,1,51.310
SubmitKernel,acpp,O2,sycl,NA,1,10,100,1,75.442
SubmitKernel,acpp,O2,sycl,NA,0,20,1,0,20.446
SubmitKernel,acpp,O2,sycl,NA,0,20,1,1,109.395
SubmitKernel,acpp,O2,sycl,NA,0,20,5,1,110.186
SubmitKernel,acpp,O2,sycl,NA,0,20,10,1,112.406
SubmitKernel,acpp,O2,sycl,NA,0,20,100,1,149.058
SubmitKernel,acpp,O2,sycl,NA,1,20,1,0,21.423
SubmitKernel,acpp,O2,sycl,NA,1,20,1,1,89.830
SubmitKernel,acpp,O2,sycl,NA,1,20,5,1,89.386
SubmitKernel,acpp,O2,sycl,NA,1,20,10,1,91.184
SubmitKernel,acpp,O2,sycl,NA,1,20,100,1,118.365
